%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
0.4580149  0.4044432  1369718800   0.15204450  -0.40007159
0.4580149  0.4044432  1369733200  -0.29303825  -0.35689473
0.4580149  0.4044432  1369747600  -0.61975199   0.61719930
0.4580149  0.4044432  1369762000   0.34994921   0.73089111
0.4580149  0.4044432  1369776400   0.18354796  -0.21967329
0.4580149  0.4044432  1369790800  -0.32898447  -0.37633699
0.4580149  0.4044432  1369805200   0.15651119  -0.40387896
0.4580149  0.4044432  1369819600  -0.30791771  -0.34711710
0.4580149  0.4044432  1369834000  -0.61009389   0.63234627
0.4580149  0.4044432  1369848400   0.36186716   0.71835279
0.4580149  0.4044432  1369862800   0.16951106  -0.23089512
0.4580149  0.4044432  1369877200  -0.32589829  -0.37369511
2.0222888  0.6941112  1368970000   0.21010640  -0.42787361
2.0222888  0.6941112  1368984400  -0.70033908  -0.23176146
2.0222888  0.6941112  1368998800  -0.33789030   0.93372715
2.0222888  0.6941112  1369013200   0.67898142   0.29201260
2.0222888  0.6941112  1369027600  -0.06947149  -0.50218004
2.0222888  0.6941112  1369042000  -0.16517776  -0.06524640
2.0222888  0.6941112  1369056400   0.20345291  -0.43738163
2.0222888  0.6941112  1369070800  -0.71253252  -0.21310160
2.0222888  0.6941112  1369085200  -0.31584132   0.94156653
2.0222888  0.6941112  1369099600   0.67997038   0.26979810
2.0222888  0.6941112  1369114000  -0.08459479  -0.50041598
2.0222888  0.6941112  1369128400  -0.15407205  -0.06194406
2.0222888  0.6941112  1369142800   0.19627073  -0.44669098
2.0222888  0.6941112  1369157200  -0.72423625  -0.19405940
2.0222888  0.6941112  1369171600  -0.29356378   0.94873428
2.0222888  0.6941112  1369186000   0.68029261   0.24757981
2.0222888  0.6941112  1369200400  -0.09941369  -0.49819279
2.0222888  0.6941112  1369214800  -0.14279401  -0.05901480
2.0222888  0.6941112  1369229200   0.18856612  -0.45578530
2.0222888  0.6941112  1369243600  -0.73544192  -0.17465249
2.0222888  0.6941112  1369258000  -0.27107847   0.95522416
2.0222888  0.6941112  1369272400   0.67994404   0.22537845
2.0222888  0.6941112  1369286800  -0.11391233  -0.49551943
2.0222888  0.6941112  1369301200  -0.13136210  -0.05646396
2.0222888  0.6941112  1369315600   0.18034425  -0.46464837
