%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
1.0764671  0.2812845   0.24289803   0.18719335  -0.00390617   0.04545364
4.8005412  -1.2480853   0.17745917   0.18050124   0.00073389   0.03203106
1.8514209  0.2188270   0.24229929   0.18766691  -0.00585132   0.04543732
3.9527145  0.2334368   0.24819441   0.18525541   0.00286399   0.04597115
4.5998601  -0.9516844   0.18896945   0.18445289  -0.00045139   0.03485576
3.4255983  -0.8876148   0.18943650   0.18164049   0.00353016   0.03439688
3.6495399  0.1295298   0.25238580   0.18861499   0.00126889   0.04760214
1.9332239  -0.5220015   0.21216390   0.17957041  -0.00664248   0.03805423
0.6821772  -0.0630764   0.25410655   0.18776894  -0.00275650   0.04770572
2.0806488  0.0822939   0.24563448   0.18793705  -0.00664473   0.04611967
2.8918827  -0.6334888   0.20076109   0.18502855  -0.00033482   0.03714642
3.4166332  0.2462916   0.24623275   0.18941437  -0.00089664   0.04663922
5.7443868  -0.8781015   0.19310260   0.18241780   0.00005228   0.03522535
0.2603141  0.3874110   0.22981955   0.18857780  -0.00298576   0.04332995
6.0283613  -1.0996837   0.18030989   0.17994268  -0.00081802   0.03244478
1.5819940  -0.1430665   0.24480109   0.18352225  -0.00751813   0.04486993
0.1365347  0.8004036   0.19247684   0.18330224  -0.00316388   0.03527143
1.5022309  -1.5498766   0.17254207   0.17641780  -0.00025538   0.03043943
5.0492432  0.2197654   0.23767790   0.18383291   0.00786741   0.04363113
1.1476646  -0.3849212   0.23451142   0.18096490  -0.00501493   0.04241319
2.0537940  -0.6389823   0.20072019   0.17843662  -0.00546197   0.03578600
6.0124366  0.3140681   0.22986333   0.18925287   0.00171686   0.04349935
5.7134395  -0.4481278   0.22785327   0.18870604   0.00300621   0.04298825
0.8675181  -0.0431816   0.25404069   0.18665794  -0.00392684   0.04740329
3.5016053  0.8698303   0.19351599   0.18042246  -0.00256582   0.03490805
4.8760842  0.8404847   0.18738644   0.17515975   0.00367478   0.03280906
