%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
2.0222888  0.6941112  1369214800   0.24242997   0.09117593
2.0222888  0.6941112  1369229200   0.15107246   0.46175915
2.0222888  0.6941112  1369243600   0.90287471  -0.00648275
2.0222888  0.6941112  1369258000   0.29371917  -0.84771615
2.0222888  0.6941112  1369272400  -0.33724326  -0.07897989
2.0222888  0.6941112  1369286800   0.35849264   0.38308007
2.0222888  0.6941112  1369301200   0.23327102   0.09199160
2.0222888  0.6941112  1369315600   0.16135688   0.46632028
2.0222888  0.6941112  1369330000   0.90763843  -0.02520572
2.0222888  0.6941112  1369344400   0.27422327  -0.84810805
2.0222888  0.6941112  1369358800  -0.33268565  -0.06122668
2.0222888  0.6941112  1369373200   0.36746800   0.37892362
2.0222888  0.6941112  1369387600   0.22413000   0.09311606
2.0222888  0.6941112  1369402000   0.17198710   0.47056848
2.0222888  0.6941112  1369416400   0.91188848  -0.04407938
2.0222888  0.6941112  1369430800   0.25473967  -0.84791541
2.0222888  0.6941112  1369445200  -0.32764006  -0.04363641
2.0222888  0.6941112  1369459600   0.37608594   0.37450305
2.0222888  0.6941112  1369474000   0.21502280   0.09454881
2.0222888  0.6941112  1369488400   0.18295510   0.47448897
2.0222888  0.6941112  1369502800   0.91561699  -0.06308726
2.0222888  0.6941112  1369517200   0.23528793  -0.84713888
2.0222888  0.6941112  1369531600  -0.32211477  -0.02622287
2.0222888  0.6941112  1369546000   0.38433775   0.36983013
2.0222888  0.6941112  1369560400   0.20596486   0.09628750
2.0222888  0.6941112  1369574800   0.19424878   0.47807372
2.0222888  0.6941112  1369589200   0.91881001  -0.08221453
2.0222888  0.6941112  1369603600   0.21588503  -0.84577626
2.0222888  0.6941112  1369618000  -0.31611907  -0.00900142
2.0222888  0.6941112  1369632400   0.39221632   0.36491644
2.0222888  0.6941112  1369646800   0.19697174   0.09833020
2.0222888  0.6941112  1369661200   0.20585734   0.48131365
2.0222888  0.6941112  1369675600   0.92146963  -0.10144346
2.0222888  0.6941112  1369690000   0.19655031  -0.84382743
2.0222888  0.6941112  1369704400  -0.30965817   0.00801332
2.0222888  0.6941112  1369718800   0.39971417   0.35977411
2.0222888  0.6941112  1369733200   0.18805832   0.10067486
2.0222888  0.6941112  1369747600   0.21776907   0.48419866
2.0222888  0.6941112  1369762000   0.92359078  -0.12075850
2.0222888  0.6941112  1369776400   0.17730154  -0.84130013
2.0222888  0.6941112  1369790800  -0.30274481   0.02480727
2.0222888  0.6941112  1369805200   0.40682000   0.35441220
2.0222888  0.6941112  1369819600   0.17923988   0.10331927
2.0222888  0.6941112  1369834000   0.22997271   0.48671940
2.0222888  0.6941112  1369848400   0.92516840  -0.14014235
2.0222888  0.6941112  1369862800   0.15815760  -0.83819771
2.0222888  0.6941112  1369877200  -0.29539078   0.04136804
5.9885083  -1.0447238  1368970000  -0.03641248   0.17531419
5.9885083  -1.0447238  1368984400   0.01934876  -0.52248210
5.9885083  -1.0447238  1368998800   0.84246469   0.08462056
5.9885083  -1.0447238  1369013200  -0.08567069   0.78679043
5.9885083  -1.0447238  1369027600  -0.45511842  -0.26345232
5.9885083  -1.0447238  1369042000   0.40595853  -0.25779614
5.9885083  -1.0447238  1369056400  -0.04852000   0.16966864
5.9885083  -1.0447238  1369070800   0.03501836  -0.52886438
5.9885083  -1.0447238  1369085200   0.84266186   0.10632575
5.9885083  -1.0447238  1369099600  -0.10680535   0.77996057
5.9885083  -1.0447238  1369114000  -0.44312233  -0.27921042
5.9885083  -1.0447238  1369128400   0.41113728  -0.24470602
5.9885083  -1.0447238  1369142800  -0.06041373   0.16354990
5.9885083  -1.0447238  1369157200   0.05099782  -0.53473061
5.9885083  -1.0447238  1369171600   0.84218675   0.12806346
5.9885083  -1.0447238  1369186000  -0.12770259   0.77248120
5.9885083  -1.0447238  1369200400  -0.43068361  -0.29452664
5.9885083  -1.0447238  1369214800   0.41577473  -0.23148710
5.9885083  -1.0447238  1369229200  -0.07207561   0.15696684
5.9885083  -1.0447238  1369243600   0.06726865  -0.54007530
5.9885083  -1.0447238  1369258000   0.84103733   0.14981237
5.9885083  -1.0447238  1369272400  -0.14833844   0.76435381
5.9885083  -1.0447238  1369286800  -0.41781715  -0.30938727
5.9885083  -1.0447238  1369301200   0.41986749  -0.21815914
5.9885083  -1.0447238  1369315600  -0.08348825   0.14992726
5.9885083  -1.0447238  1369330000   0.08381259  -0.54488748
5.9885083  -1.0447238  1369344400   0.83921742   0.17154974
5.9885083  -1.0447238  1369358800  -0.16869509   0.75559276
5.9885083  -1.0447238  1369373200  -0.40453634  -0.32377416
5.9885083  -1.0447238  1369387600   0.42341059  -0.20474032
5.9885083  -1.0447238  1369402000  -0.09463384   0.14244035
5.9885083  -1.0447238  1369416400   0.10061246  -0.54915774
5.9885083  -1.0447238  1369430800   0.83672673   0.19325492
5.9885083  -1.0447238  1369445200  -0.18875208   0.74620992
5.9885083  -1.0447238  1369459600  -0.39086276  -0.33767992
5.9885083  -1.0447238  1369474000   0.42640126  -0.19125077
5.9885083  -1.0447238  1369488400  -0.10549348   0.13451213
5.9885083  -1.0447238  1369502800   0.11764932  -0.55287576
5.9885083  -1.0447238  1369517200   0.83356571   0.21490467
5.9885083  -1.0447238  1369531600  -0.20849097   0.73621494
5.9885083  -1.0447238  1369546000  -0.37681454  -0.35109225
5.9885083  -1.0447238  1369560400   0.42884243  -0.17771040
5.9885083  -1.0447238  1369574800  -0.11605112   0.12615541
5.9885083  -1.0447238  1369589200   0.13490611  -0.55602658
5.9885083  -1.0447238  1369603600   0.82973158   0.23647767
5.9885083  -1.0447238  1369618000  -0.22789150   0.72561944
5.9885083  -1.0447238  1369632400  -0.36240876  -0.36400008
5.9885083  -1.0447238  1369646800   0.43073389  -0.16413926
5.9885083  -1.0447238  1369661200  -0.12629148   0.11738160
5.9885083  -1.0447238  1369675600   0.15236181  -0.55860865
5.9885083  -1.0447238  1369690000   0.82522422   0.25795031
5.9885083  -1.0447238  1369704400  -0.24693269   0.71442831
5.9885083  -1.0447238  1369718800  -0.34766424  -0.37639213
5.9885083  -1.0447238  1369733200   0.43207592  -0.15055624
5.9885083  -1.0447238  1369747600  -0.13619816   0.10820228
5.9885083  -1.0447238  1369762000   0.16999786  -0.56061471
5.9885083  -1.0447238  1369776400   0.82005203   0.27930266
5.9885083  -1.0447238  1369790800  -0.26559678   0.70265806
5.9885083  -1.0447238  1369805200  -0.33259511  -0.38825268
5.9885083  -1.0447238  1369819600   0.43286750  -0.13698119
5.9885083  -1.0447238  1369834000  -0.14575604   0.09862891
5.9885083  -1.0447238  1369848400   0.18779409  -0.56203771
5.9885083  -1.0447238  1369862800   0.81421852   0.30051228
5.9885083  -1.0447238  1369877200  -0.28386766   0.69032359
4.4346531  -0.7981210  1368970000   0.65997005  -0.38032556
4.4346531  -0.7981210  1368984400   0.65992236   0.69540280
4.4346531  -0.7981210  1368998800  -0.38557550   0.44560006
4.4346531  -0.7981210  1369013200   0.05495328  -0.42935890
4.4346531  -0.7981210  1369027600   0.38138843  -0.06705563
4.4346531  -0.7981210  1369042000  -0.04623306  -0.27377900
4.4346531  -0.7981210  1369056400   0.67423511  -0.36840719
4.4346531  -0.7981210  1369070800   0.64365232   0.70828366
4.4346531  -0.7981210  1369085200  -0.39290681   0.42719111
4.4346531  -0.7981210  1369099600   0.06985696  -0.43190879
4.4346531  -0.7981210  1369114000   0.37443548  -0.06080632
4.4346531  -0.7981210  1369128400  -0.04457936  -0.28394017
4.4346531  -0.7981210  1369142800   0.68823564  -0.35602510
4.4346531  -0.7981210  1369157200   0.62699640   0.72066391
4.4346531  -0.7981210  1369171600  -0.39966384   0.40858898
4.4346531  -0.7981210  1369186000   0.08466879  -0.43397957
4.4346531  -0.7981210  1369200400   0.36718625  -0.05482887
4.4346531  -0.7981210  1369214800  -0.04245600  -0.29407716
4.4346531  -0.7981210  1369229200   0.70195508  -0.34318894
4.4346531  -0.7981210  1369243600   0.60997450   0.73253834
4.4346531  -0.7981210  1369258000  -0.40584233   0.38981143
4.4346531  -0.7981210  1369272400   0.09936976  -0.43557033
4.4346531  -0.7981210  1369286800   0.35965222  -0.04913301
4.4346531  -0.7981210  1369301200  -0.03986177  -0.30417407
4.4346531  -0.7981210  1369315600   0.71537745  -0.32990664
4.4346531  -0.7981210  1369330000   0.59260297   0.74389511
4.4346531  -0.7981210  1369344400  -0.41144189   0.37087959
4.4346531  -0.7981210  1369358800   0.11394438  -0.43668956
4.4346531  -0.7981210  1369373200   0.35184413  -0.04373018
4.4346531  -0.7981210  1369387600  -0.03679410  -0.31421447
4.4346531  -0.7981210  1369402000   0.72848570  -0.31618795
4.4346531  -0.7981210  1369416400   0.57489741   0.75472414
4.4346531  -0.7981210  1369430800  -0.41646013   0.35181057
4.4346531  -0.7981210  1369445200   0.12837571  -0.43734354
4.4346531  -0.7981210  1369459600   0.34377897  -0.03862705
4.4346531  -0.7981210  1369474000  -0.03325249  -0.32418194
4.4346531  -0.7981210  1369488400   0.74125946  -0.30203807
4.4346531  -0.7981210  1369502800   0.55687463   0.76501399
4.4346531  -0.7981210  1369517200  -0.42089429   0.33262402
4.4346531  -0.7981210  1369531600   0.14264816  -0.43753785
4.4346531  -0.7981210  1369546000   0.33547074  -0.03383230
